Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1306,34093257",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2023. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2023,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1169,63689722",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2022. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2022,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1298,5079693",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2021. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2021,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1326,60257176",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2020. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2020,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1350,38701757",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2019. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2019,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1382,1501823199999",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2018. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2018,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1218,67322836",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2017. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2017,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1218,67322836",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2016. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2016,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1199,39794",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2015. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2015,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Inicial,Total,Total,"1059,8680492",No Aplica,18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Inicial 2014. Corresponde al monto inicial aprobado por la Asamblea Nacional.,2014,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
