,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Serie 1.1.2B
Número de defunciones en el año (t+1) por edades simples (días) a nivel nacional
Periodo 1990 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Años,Total defunciones (t+1)1/,Días,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE
,2009," 1,276 ", 171 , 175 , 139 , 94 , 79 , 62 , 57 , 49 , 31 , 31 , 36 , 25 , 23 , 23 , 29 , 20 , 19 , 12 , 17 , 33 , 18 , 25 , 13 , 22 , 9 , 13 , 21 , 17 , 13 , - ,,
,2010," 1,202 ", 145 , 190 , 120 , 78 , 65 , 72 , 52 , 46 , 36 , 40 , 34 , 21 , 23 , 27 , 25 , 23 , 22 , 20 , 18 , 22 , 10 , 12 , 16 , 11 , 14 , 17 , 16 , 12 , 15 , - ,,
,2011," 1,281 ", 177 , 206 , 114 , 90 , 72 , 72 , 50 , 48 , 42 , 41 , 40 , 30 , 27 , 30 , 28 , 19 , 23 , 16 , 13 , 20 , 13 , 15 , 13 , 10 , 15 , 19 , 16 , 13 , 9 , - ,,
,2012," 1,053 ", 155 , 178 , 104 , 82 , 64 , 54 , 40 , 34 , 36 , 26 , 23 , 21 , 22 , 17 , 12 , 16 , 14 , 18 , 21 , 14 , 7 , 9 , 12 , 14 , 8 , 12 , 19 , 13 , 8 , - ,,
,2013," 1,083 ", 75 , 194 , 125 , 73 , 60 , 48 , 54 , 42 , 32 , 23 , 24 , 24 , 26 , 27 , 17 , 14 , 25 , 19 , 23 , 19 , 16 , 21 , 22 , 16 , 11 , 16 , 12 , 14 , 11 , - ,,
,2014," 1,205 ", 246 , 182 , 104 , 74 , 74 , 47 , 50 , 32 , 30 , 34 , 25 , 20 , 26 , 20 , 24 , 23 , 18 , 14 , 10 , 20 , 14 , 12 , 17 , 19 , 17 , 19 , 14 , 20 , - , - ,,
,2015," 1,364 ", 286 , 193 , 127 , 95 , 55 , 56 , 46 , 43 , 42 , 38 , 40 , 27 , 23 , 28 , 26 , 18 , 20 , 19 , 18 , 22 , 23 , 21 , 18 , 17 , 17 , 17 , 16 , 13 , - , - ,,
,2016," 1,362 ", 219 , 197 , 139 , 101 , 64 , 67 , 38 , 35 , 43 , 49 , 34 , 39 , 33 , 27 , 23 , 22 , 21 , 19 , 26 , 25 , 18 , 23 , 13 , 20 , 13 , 21 , 16 , 15 , 2 , - ,,
,2017," 1,534 ", 262 , 202 , 147 , 113 , 86 , 85 , 62 , 51 , 48 , 44 , 38 , 26 , 39 , 22 , 20 , 32 , 31 , 23 , 16 , 23 , 17 , 22 , 14 , 19 , 26 , 18 , 14 , 18 , 16 , - ,,
,2018," 1,656 ", 265 , 216 , 156 , 124 , 88 , 80 , 76 , 61 , 58 , 50 , 44 , 37 , 33 , 31 , 24 , 29 , 28 , 26 , 26 , 31 , 20 , 16 , 19 , 19 , 17 , 15 , 17 , 18 , 25 , 7 ,,
,2019," 1,627 ", 211 , 239 , 149 , 112 , 97 , 76 , 68 , 52 , 47 , 61 , 46 , 38 , 40 , 33 , 32 , 35 , 28 , 21 , 28 , 22 , 23 , 17 , 18 , 18 , 24 , 28 , 27 , 14 , 19 , 4 ,,
,2020," 1,274 ", 142 , 167 , 120 , 97 , 70 , 56 , 62 , 45 , 45 , 42 , 40 , 37 , 31 , 33 , 25 , 26 , 20 , 21 , 22 , 19 , 20 , 14 , 14 , 15 , 15 , 17 , 15 , 19 , 14 , 11 ,,
,2021 (p**)," 1,386 ", 171 , 166 , 140 , 114 , 81 , 69 , 55 , 58 , 38 , 51 , 46 , 39 , 32 , 27 , 36 , 23 , 23 , 25 , 18 , 17 , 24 , 20 , 11 , 17 , 13 , 17 , 11 , 19 , 14 , 11 ,,
,"1/ Defunciones registrados en el año (t+1):  corresponden a las defunciones generales ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del año siguiente. Cabe mencionar que se ha realizado el ajuste desde el año 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fuente: Registro estadístico de defunciones generales, años 1990-2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
