,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.5 
Defunciones en el año (t) por sexo y grupos de edad, según región, provincia y áreas de residencia habitual de la persona fallecida
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regiones, provincias
 y áreas",,Total,,, Menores de 1 año,,, 1 a 4 años,,, 5 a 14 años,,,15 a 49 años,,,50 a 64 años,,,65 y más años,,,Sin información,,,INDICE,,,,,
,,Total,Sexo,,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,,,,,,
,,,Hombre,Mujer,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 2,366 "," 1,333 "," 1,033 ", 47 , 30 , 17 , 12 , 6 , 6 , 8 , 5 , 3 , 9 , 6 , 3 , 15 , 9 , 6 ," 2,275 "," 1,277 ", 998 , 1 , - , 1 ,,,,,,
, Rural ," 1,163 ", 645 , 518 , 17 , 7 , 10 , 4 , 3 , 1 , 4 , 3 , 1 , - , - , - , 16 , 14 , 2 ," 1,122 ", 618 , 504 , 1 , - , 1 ,,,,,,
 Pichincha , Total ," 18,464 "," 10,350 "," 8,114 ", 514 , 292 , 222 , 88 , 47 , 41 , 51 , 31 , 20 , 90 , 47 , 43 , 140 , 98 , 42 ," 17,580 "," 9,835 "," 7,745 ", - , - , - ,,,,,,
, Urbano ," 13,394 "," 7,508 "," 5,886 ", 443 , 252 , 191 , 65 , 38 , 27 , 36 , 22 , 14 , 60 , 31 , 29 , 93 , 74 , 19 ," 12,696 "," 7,091 "," 5,605 ", 1 , 1 , - ,,,,,,
, Rural ," 5,070 "," 2,842 "," 2,228 ", 71 , 40 , 31 , 23 , 9 , 14 , 15 , 9 , 6 , 30 , 16 , 14 , 47 , 24 , 23 ," 4,884 "," 2,744 "," 2,140 ", 1 , 1 , - ,,,,,,
 Tungurahua , Total ," 4,118 "," 2,300 "," 1,818 ", 54 , 26 , 28 , 14 , 9 , 5 , 18 , 10 , 8 , 20 , 11 , 9 , 36 , 19 , 17 ," 3,975 "," 2,224 "," 1,751 ", - , - , - ,,,,,,
, Urbano ," 2,364 "," 1,343 "," 1,021 ", 24 , 12 , 12 , 6 , 4 , 2 , 8 , 4 , 4 , 8 , 4 , 4 , 19 , 10 , 9 ," 2,298 "," 1,308 ", 990 , - , - , - ,,,,,,
, Rural ," 1,754 ", 957 , 797 , 30 , 14 , 16 , 8 , 5 , 3 , 10 , 6 , 4 , 12 , 7 , 5 , 17 , 9 , 8 ," 1,677 ", 916 , 761 , - , - , - ,,,,,,
 Santo Domingo de los Tsáchilas , Total ," 2,848 "," 1,698 "," 1,150 ", 73 , 45 , 28 , 20 , 12 , 8 , 13 , 9 , 4 , 18 , 7 , 11 , 27 , 18 , 9 ," 2,697 "," 1,607 "," 1,090 ", - , - , - ,,,,,,
, Urbano ," 2,382 "," 1,413 ", 969 , 65 , 40 , 25 , 13 , 7 , 6 , 9 , 6 , 3 , 13 , 4 , 9 , 24 , 16 , 8 ," 2,258 "," 1,340 ", 918 , - , - , - ,,,,,,
, Rural , 466 , 285 , 181 , 8 , 5 , 3 , 7 , 5 , 2 , 4 , 3 , 1 , 5 , 3 , 2 , 3 , 2 , 1 , 439 , 267 , 172 , - , - , - ,,,,,,
 Región Costa ,," 53,512 "," 30,931 "," 22,581 "," 1,344 ", 735 , 609 , 259 , 149 , 110 , 179 , 106 , 73 , 244 , 137 , 107 , 578 , 419 , 159 ," 50,903 "," 29,381 "," 21,522 ", 5 , 4 , 1 ,,,,,,
 El Oro , Total ," 4,996 "," 2,984 "," 2,012 ", 141 , 88 , 53 , 22 , 15 , 7 , 14 , 11 , 3 , 25 , 14 , 11 , 45 , 34 , 11 ," 4,749 "," 2,822 "," 1,927 ", - , - , - ,,,,,,
, Urbano ," 4,310 "," 2,557 "," 1,753 ", 130 , 80 , 50 , 19 , 13 , 6 , 14 , 11 , 3 , 21 , 13 , 8 , 37 , 29 , 8 ," 4,089 "," 2,411 "," 1,678 ", - , - , - ,,,,,,
, Rural , 686 , 427 , 259 , 11 , 8 , 3 , 3 , 2 , 1 , - , - , - , 4 , 1 , 3 , 8 , 5 , 3 , 660 , 411 , 249 , - , - , - ,,,,,,
 Esmeraldas , Total ," 2,763 "," 1,631 "," 1,132 ", 52 , 21 , 31 , 18 , 11 , 7 , 26 , 15 , 11 , 23 , 11 , 12 , 47 , 35 , 12 ," 2,597 "," 1,538 "," 1,059 ", - , - , - ,,,,,,
, Urbano ," 1,841 "," 1,082 ", 759 , 41 , 17 , 24 , 7 , 4 , 3 , 12 , 6 , 6 , 13 , 8 , 5 , 32 , 22 , 10 ," 1,736 "," 1,025 ", 711 , - , - , - ,,,,,,
, Rural , 922 , 549 , 373 , 11 , 4 , 7 , 11 , 7 , 4 , 14 , 9 , 5 , 10 , 3 , 7 , 15 , 13 , 2 , 861 , 513 , 348 , - , - , - ,,,,,,
 Guayas , Total ," 28,222 "," 16,158 "," 12,064 ", 753 , 410 , 343 , 116 , 62 , 54 , 74 , 40 , 34 , 117 , 66 , 51 , 304 , 218 , 86 ," 26,858 "," 15,362 "," 11,496 ", - , - , - ,,,,,,
, Urbano ," 26,688 "," 15,285 "," 11,403 ", 727 , 401 , 326 , 102 , 53 , 49 , 68 , 38 , 30 , 107 , 62 , 45 , 279 , 200 , 79 ," 25,405 "," 14,531 "," 10,874 ", - , - , - ,,,,,,
, Rural ," 1,534 ", 873 , 661 , 26 , 9 , 17 , 14 , 9 , 5 , 6 , 2 , 4 , 10 , 4 , 6 , 25 , 18 , 7 ," 1,453 ", 831 , 622 , - , - , - ,,,,,,
 Los Ríos , Total ," 5,777 "," 3,416 "," 2,361 ", 133 , 79 , 54 , 40 , 24 , 16 , 20 , 12 , 8 , 30 , 19 , 11 , 81 , 56 , 25 ," 5,471 "," 3,224 "," 2,247 ", 2 , 2 , - ,,,,,,
, Urbano ," 4,640 "," 2,732 "," 1,908 ", 103 , 57 , 46 , 33 , 19 , 14 , 17 , 9 , 8 , 18 , 11 , 7 , 66 , 45 , 21 ," 4,401 "," 2,589 "," 1,812 ", 2 , 2 , - ,,,,,,
, Rural ," 1,137 ", 684 , 453 , 30 , 22 , 8 , 7 , 5 , 2 , 3 , 3 , - , 12 , 8 , 4 , 15 , 11 , 4 ," 1,070 ", 635 , 435 , - , - , - ,,,,,,
 Manabí , Total ," 9,782 "," 5,592 "," 4,190 ", 206 , 105 , 101 , 50 , 27 , 23 , 35 , 22 , 13 , 40 , 23 , 17 , 84 , 64 , 20 ," 9,365 "," 5,350 "," 4,015 ", 2 , 1 , 1 ,,,,,,
, Urbano ," 7,772 "," 4,424 "," 3,348 ", 177 , 91 , 86 , 35 , 19 , 16 , 32 , 21 , 11 , 32 , 18 , 14 , 60 , 42 , 18 ," 7,434 "," 4,232 "," 3,202 ", 2 , 1 , 1 ,,,,,,
, Rural ," 2,010 "," 1,168 ", 842 , 29 , 14 , 15 , 15 , 8 , 7 , 3 , 1 , 2 , 8 , 5 , 3 , 24 , 22 , 2 ," 1,931 "," 1,118 ", 813 , - , - , - ,,,,,,
 Santa Elena , Total ," 1,972 "," 1,150 ", 822 , 59 , 32 , 27 , 13 , 10 , 3 , 10 , 6 , 4 , 9 , 4 , 5 , 17 , 12 , 5 ," 1,863 "," 1,085 ", 778 , 1 , 1 , - ,,,,,,
, Urbano ," 1,302 ", 767 , 535 , 39 , 21 , 18 , 5 , 4 , 1 , 5 , 3 , 2 , 6 , 3 , 3 , 11 , 8 , 3 ," 1,235 ", 727 , 508 , 1 , 1 , - ,,,,,,
, Rural , 670 , 383 , 287 , 20 , 11 , 9 , 8 , 6 , 2 , 5 , 3 , 2 , 3 , 1 , 2 , 6 , 4 , 2 , 628 , 358 , 270 , - , - , - ,,,,,,
 Región Amazónica ,," 3,964 "," 2,402 "," 1,562 ", 199 , 103 , 96 , 63 , 29 , 34 , 43 , 24 , 19 , 50 , 26 , 24 , 104 , 70 , 34 ," 3,505 "," 2,150 "," 1,355 ", 1 , 1 , - ,,,,,,
 Morona Santiago , Total , 726 , 406 , 320 , 62 , 32 , 30 , 14 , 6 , 8 , 10 , 7 , 3 , 9 , 4 , 5 , 16 , 11 , 5 , 615 , 346 , 269 , - , - , - ,,,,,,
, Urbano , 411 , 225 , 186 , 37 , 21 , 16 , 4 , 1 , 3 , 4 , 2 , 2 , 7 , 3 , 4 , 11 , 7 , 4 , 348 , 191 , 157 , - , - , - ,,,,,,
, Rural , 315 , 181 , 134 , 25 , 11 , 14 , 10 , 5 , 5 , 6 , 5 , 1 , 2 , 1 , 1 , 5 , 4 , 1 , 267 , 155 , 112 , - , - , - ,,,,,,
 Napo , Total , 582 , 361 , 221 , 28 , 14 , 14 , 8 , 4 , 4 , 10 , 6 , 4 , 8 , 4 , 4 , 16 , 11 , 5 , 512 , 322 , 190 , - , - , - ,,,,,,
, Urbano , 333 , 210 , 123 , 12 , 8 , 4 , 3 , 2 , 1 , 6 , 3 , 3 , 4 , 2 , 2 , 8 , 5 , 3 , 300 , 190 , 110 , - , - , - ,,,,,,
, Rural , 249 , 151 , 98 , 16 , 6 , 10 , 5 , 2 , 3 , 4 , 3 , 1 , 4 , 2 , 2 , 8 , 6 , 2 , 212 , 132 , 80 , - , - , - ,,,,,,
 Pastaza , Total , 465 , 266 , 199 , 14 , 6 , 8 , 6 , 3 , 3 , 6 , 1 , 5 , 1 , 1 , - , 12 , 6 , 6 , 426 , 249 , 177 , - , - , - ,,,,,,
, Urbano , 317 , 183 , 134 , 12 , 4 , 8 , 1 , - , 1 , 4 , - , 4 , 1 , 1 , - , 7 , 4 , 3 , 292 , 174 , 118 , - , - , - ,,,,,,
, Rural , 148 , 83 , 65 , 2 , 2 , - , 5 , 3 , 2 , 2 , 1 , 1 , - , - , - , 5 , 2 , 3 , 134 , 75 , 59 , - , - , - ,,,,,,
 Zamora Chinchipe , Total , 522 , 320 , 202 , 11 , 5 , 6 , 8 , 2 , 6 , 5 , 4 , 1 , 6 , 3 , 3 , 7 , 6 , 1 , 485 , 300 , 185 , - , - , - ,,,,,,
, Urbano , 344 , 205 , 139 , 8 , 2 , 6 , 3 , 2 , 1 , 3 , 3 , - , 3 , 2 , 1 , 4 , 3 , 1 , 323 , 193 , 130 , - , - , - ,,,,,,
, Rural , 178 , 115 , 63 , 3 , 3 , - , 5 , - , 5 , 2 , 1 , 1 , 3 , 1 , 2 , 3 , 3 , - , 162 , 107 , 55 , - , - , - ,,,,,,
 Sucumbíos , Total , 980 , 627 , 353 , 50 , 29 , 21 , 16 , 11 , 5 , 5 , 4 , 1 , 14 , 8 , 6 , 20 , 13 , 7 , 875 , 562 , 313 , 1 , 1 , - ,,,,,,
, Urbano , 687 , 441 , 246 , 36 , 20 , 16 , 7 , 3 , 4 , 1 , 1 , - , 10 , 7 , 3 , 15 , 9 , 6 , 618 , 401 , 217 , - , - , - ,,,,,,
, Rural , 293 , 186 , 107 , 14 , 9 , 5 , 9 , 8 , 1 , 4 , 3 , 1 , 4 , 1 , 3 , 5 , 4 , 1 , 257 , 161 , 96 , 1 , 1 , - ,,,,,,
 Orellana , Total , 689 , 422 , 267 , 34 , 17 , 17 , 11 , 3 , 8 , 7 , 2 , 5 , 12 , 6 , 6 , 33 , 23 , 10 , 592 , 371 , 221 , - , - , - ,,,,,,
, Urbano , 375 , 218 , 157 , 18 , 10 , 8 , 3 , 1 , 2 , 3 , 1 , 2 , 5 , 3 , 2 , 10 , 7 , 3 , 336 , 196 , 140 , - , - , - ,,,,,,
, Rural , 314 , 204 , 110 , 16 , 7 , 9 , 8 , 2 , 6 , 4 , 1 , 3 , 7 , 3 , 4 , 23 , 16 , 7 , 256 , 175 , 81 , - , - , - ,,,,,,
 Región Insular ,, 82 , 59 , 23 , 3 , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , 79 , 58 , 21 , - , - , - ,,,,,,
 Galapagos , Total , 82 , 59 , 23 , 3 , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , 79 , 58 , 21 , - , - , - ,,,,,,
, Urbano , 67 , 48 , 19 , 3 , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , 64 , 47 , 17 , - , - , - ,,,,,,
, Rural , 15 , 11 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 15 , 11 , 4 , - , - , - ,,,,,,
 Exterior , Total , 29 , 19 , 10 ,,,,,,, 1 ,, 1 ,,,, 3 , 3 ,,25, 16 , 9 , - , - , - ,,,,,,
, Urbano , 29 , 19 , 10 ,,,,,,, 1 ,, 1 ,,,, 3 , 3 ,,25, 16 , 9 , - , - , - ,,,,,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
