,,,,,,,,,,,,,,
"Cuadro No. 3.1.17 
Defunciones por lugar de residencia habitual, edad,sexo y nivel de instrucción
Año 2021 (p**) ",,,,,,,,,,,,,,
"Nacional, provincial por sexo y rangos de edad",,,Total,Ninguno,Centro de alfabetización,Primaria,Educación Básica,Secundaria,Educación Media / Bachillerato,Superior no universitario,Superior universitario,Postgrado,Sin información,INDICE
,,20 - 49 años, 67 , 5 , 1 , 19 , 22 , 11 , 4 ,  , 3 ,  , 2 ,
,,50 - 59 años, 60 , 10 , 1 , 18 , 19 , 9 ,  ,  , 3 ,  ,  ,
,,60 y más años, 596 , 304 , 7 , 130 , 104 , 39 ,  , 2 , 3 ,  , 7 ,
Carchi,Hombre,Total, 681 , 69 , 6 , 265 , 171 , 109 , 10 , 5 , 37 ,  , 4 ,
,,Menores de 15 años, 24 , 16 ,  ,  , 3 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 8 , 3 ,  ,  , 2 ,  , 3 ,  ,  ,  ,  ,
,,20 - 49 años, 88 , 4 ,  , 23 , 14 , 25 , 7 , 4 , 10 ,  , 1 ,
,,50 - 59 años, 76 , 2 , 1 , 20 , 20 , 25 ,  ,  , 8 ,  ,  ,
,,60 y más años, 485 , 44 , 5 , 222 , 132 , 59 ,  , 1 , 19 ,  , 3 ,
,Mujer,Total, 545 , 111 , 2 , 218 , 118 , 69 , 5 , 1 , 10 ,  , 5 ,
,,Menores de 15 años, 21 , 13 ,  ,  , 2 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 6 , 2 ,  ,  , 2 ,  , 2 ,  ,  ,  ,  ,
,,20 - 49 años, 55 , 6 ,  , 15 , 6 , 20 , 3 , 1 , 3 ,  , 1 ,
,,50 - 59 años, 43 , 1 ,  , 15 , 10 , 15 ,  ,  , 2 ,  ,  ,
,,60 y más años, 420 , 89 , 2 , 188 , 98 , 34 ,  ,  , 5 ,  , 4 ,
Cotopaxi,Hombre,Total," 1,673 ", 306 , 14 , 429 , 457 , 274 , 38 , 11 , 76 , 2 , 34 ,
,,Menores de 15 años, 90 , 47 ,  ,  , 11 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 26 , 2 ,  ,  , 16 ,  , 8 ,  ,  ,  ,  ,
,,20 - 49 años, 325 , 13 ,  , 48 , 75 , 118 , 30 , 6 , 27 ,  , 8 ,
,,50 - 59 años, 154 , 3 ,  , 53 , 37 , 41 ,  , 2 , 14 ,  , 4 ,
,,60 y más años," 1,078 ", 241 , 14 , 328 , 318 , 115 ,  , 3 , 35 , 2 , 22 ,
,Mujer,Total," 1,337 ", 590 , 12 , 266 , 199 , 165 , 11 , 2 , 40 ,  , 26 ,
,,Menores de 15 años, 73 , 43 ,  ,  , 4 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 14 , 1 ,  ,  , 5 ,  , 6 ,  ,  ,  , 2 ,
,,20 - 49 años, 116 , 13 , 1 , 20 , 26 , 31 , 5 ,  , 16 ,  , 4 ,
,,50 - 59 años, 108 , 10 , 2 , 27 , 19 , 33 ,  , 1 , 12 ,  , 4 ,
,,60 y más años," 1,026 ", 523 , 9 , 219 , 145 , 101 ,  , 1 , 12 ,  , 16 ,
Chimborazo,Hombre,Total," 1,866 ", 387 , 57 , 447 , 418 , 302 , 26 , 11 , 142 , 6 , 44 ,
,,Menores de 15 años, 66 , 29 ,  ,  , 10 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 18 , 4 ,  ,  , 4 ,  , 8 ,  ,  ,  , 2 ,
,,20 - 49 años, 258 , 6 ,  , 52 , 59 , 75 , 18 , 5 , 30 ,  , 13 ,
,,50 - 59 años, 198 , 8 , 1 , 54 , 45 , 54 ,  , 4 , 28 , 1 , 3 ,
,,60 y más años," 1,326 ", 340 , 56 , 341 , 300 , 173 ,  , 2 , 84 , 5 , 25 ,
,Mujer,Total," 1,540 ", 640 , 29 , 281 , 265 , 190 , 9 , 7 , 52 , 3 , 36 ,
,,Menores de 15 años, 57 , 21 ,  ,  , 8 ,  ,  ,  ,  ,  ,  ,
