,,,,,,,,,,,,,,
"Cuadro No. 3.1.17 
Defunciones por lugar de residencia habitual, edad,sexo y nivel de instrucción
Año 2021 (p**) ",,,,,,,,,,,,,,
"Nacional, provincial por sexo y rangos de edad",,,Total,Ninguno,Centro de alfabetización,Primaria,Educación Básica,Secundaria,Educación Media / Bachillerato,Superior no universitario,Superior universitario,Postgrado,Sin información,INDICE
,,60 y más años, 196 , 20 , 5 , 83 , 45 , 28 ,  , 3 , 5 ,  , 7 ,
,Mujer,Total, 202 , 32 , 2 , 86 , 38 , 17 , 1 ,  , 11 ,  , 6 ,
,,Menores de 15 años, 16 , 3 ,  ,  , 4 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 1 ,  ,  ,  ,  ,  , 1 ,  ,  ,  ,  ,
,,20 - 49 años, 20 ,  ,  , 9 , 5 , 5 ,  ,  , 1 ,  ,  ,
,,50 - 59 años, 22 , 1 ,  , 9 , 5 , 3 ,  ,  , 4 ,  ,  ,
,,60 y más años, 143 , 28 , 2 , 68 , 24 , 9 ,  ,  , 6 ,  , 6 ,
Galapagos,Hombre,Total, 59 , 4 , 1 , 10 , 19 , 18 ,  ,  , 7 ,  ,  ,
,,Menores de 15 años, 1 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,20 - 49 años, 11 ,  ,  ,  , 3 , 6 ,  ,  , 2 ,  ,  ,
,,50 - 59 años, 5 ,  , 1 , 1 ,  , 3 ,  ,  ,  ,  ,  ,
,,60 y más años, 42 , 3 ,  , 9 , 16 , 9 ,  ,  , 5 ,  ,  ,
,Mujer,Total, 23 , 3 ,  , 4 , 4 , 9 ,  , 1 , 1 ,  ,  ,
,,Menores de 15 años, 2 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
,,20 - 49 años, 5 ,  ,  ,  ,  , 3 ,  , 1 , 1 ,  ,  ,
,,50 - 59 años, 1 ,  ,  ,  ,  , 1 ,  ,  ,  ,  ,  ,
,,60 y más años, 15 , 2 ,  , 4 , 4 , 5 ,  ,  ,  ,  ,  ,
Sucumbíos,Hombre,Total, 627 , 96 , 4 , 160 , 137 , 141 , 30 , 4 , 30 , 1 , 11 ,
,,Menores de 15 años, 52 , 34 ,  ,  , 4 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 13 , 2 ,  ,  , 7 ,  , 4 ,  ,  ,  ,  ,
,,20 - 49 años, 193 , 2 ,  , 23 , 49 , 73 , 26 , 4 , 12 ,  , 4 ,
,,50 - 59 años, 77 , 2 ,  , 17 , 20 , 27 ,  ,  , 10 ,  , 1 ,
,,60 y más años, 291 , 56 , 4 , 120 , 56 , 41 ,  ,  , 8 , 1 , 5 ,
,,Sin Información, 1 ,  ,  ,  , 1 ,  ,  ,  ,  ,  ,  ,
,Mujer,Total, 353 , 113 , 3 , 103 , 67 , 40 , 7 , 1 , 9 ,  , 6 ,
,,Menores de 15 años, 33 , 24 ,  ,  , 5 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 7 , 2 ,  ,  , 3 ,  , 2 ,  ,  ,  ,  ,
,,20 - 49 años, 57 , 4 , 1 , 8 , 11 , 21 , 5 ,  , 4 ,  , 3 ,
,,50 - 59 años, 44 , 4 , 1 , 20 , 6 , 9 ,  ,  , 3 ,  , 1 ,
,,60 y más años, 212 , 79 , 1 , 75 , 42 , 10 ,  , 1 , 2 ,  , 2 ,
Orellana,Hombre,Total, 422 , 76 , 2 , 114 , 100 , 68 , 23 , 2 , 13 , 2 , 17 ,
,,Menores de 15 años, 28 , 18 ,  ,  , 5 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 23 , 5 ,  ,  , 10 ,  , 5 ,  ,  ,  , 3 ,
,,20 - 49 años, 129 , 4 ,  , 28 , 28 , 39 , 18 , 1 , 5 , 1 , 5 ,
,,50 - 59 años, 44 , 1 ,  , 15 , 13 , 14 ,  ,  , 1 ,  ,  ,
,,60 y más años, 198 , 48 , 2 , 71 , 44 , 15 ,  , 1 , 7 , 1 , 9 ,
,Mujer,Total, 267 , 77 , 3 , 58 , 49 , 31 , 14 , 1 , 12 ,  , 7 ,
,,Menores de 15 años, 36 , 17 ,  ,  , 2 ,  ,  ,  ,  ,  , 2 ,
,,15 - 19 años, 10 ,  ,  ,  , 4 ,  , 6 ,  ,  ,  ,  ,
,,20 - 49 años, 56 , 2 ,  , 13 , 10 , 18 , 8 ,  , 4 ,  , 1 ,
,,50 - 59 años, 39 , 3 ,  , 10 , 10 , 6 ,  , 1 , 7 ,  , 2 ,
,,60 y más años, 126 , 55 , 3 , 35 , 23 , 7 ,  ,  , 1 ,  , 2 ,
Santo Domingo de los Tsáchilas,Hombre,Total," 1,698 ", 265 , 21 , 394 , 523 , 312 , 22 , 8 , 84 , 4 , 34 ,
,,Menores de 15 años, 73 , 36 ,  ,  , 6 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 18 , 1 ,  ,  , 14 ,  , 3 ,  ,  ,  ,  ,
,,20 - 49 años, 327 , 14 ,  , 43 , 113 , 112 , 19 , 3 , 15 ,  , 8 ,
,,50 - 59 años, 183 , 15 , 2 , 36 , 48 , 61 ,  , 3 , 13 ,  , 5 ,
,,60 y más años," 1,097 ", 199 , 19 , 315 , 342 , 139 ,  , 2 , 56 , 4 , 21 ,
,Mujer,Total," 1,150 ", 274 , 18 , 278 , 307 , 174 , 17 , 2 , 30 , 3 , 32 ,
,,Menores de 15 años, 51 , 26 ,  ,  , 10 ,  ,  ,  ,  ,  ,  ,
,,15 - 19 años, 9 , 2 ,  ,  , 4 ,  , 3 ,  ,  ,  ,  ,
,,20 - 49 años, 156 , 11 ,  , 23 , 46 , 48 , 14 ,  , 8 ,  , 6 ,
,,50 - 59 años, 129 , 11 , 1 , 32 , 28 , 34 ,  , 2 , 11 , 2 , 8 ,
,,60 y más años, 805 , 224 , 17 , 223 , 219 , 92 ,  ,  , 11 , 1 , 18 ,
Santa Elena,Hombre,Total," 1,150 ", 129 , 8 , 206 , 348 , 306 , 22 , 9 , 51 ,  , 55 ,
,,Menores de 15 años, 52 , 31 ,  ,  , 4 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 12 , 2 , 1 ,  , 5 ,  , 4 ,  ,  ,  ,  ,
,,20 - 49 años, 225 , 6 ,  , 26 , 70 , 77 , 18 , 2 , 11 ,  , 15 ,
,,50 - 59 años, 161 , 9 , 1 , 19 , 43 , 66 ,  , 2 , 12 ,  , 9 ,
,,60 y más años, 699 , 81 , 6 , 161 , 226 , 163 ,  , 5 , 28 ,  , 29 ,
,,Sin Información, 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,
,Mujer,Total, 822 , 146 , 6 , 162 , 244 , 201 , 2 , 1 , 14 , 1 , 27 ,
,,Menores de 15 años, 39 , 16 ,  ,  , 4 ,  ,  ,  ,  ,  , 1 ,
,,15 - 19 años, 5 , 2 ,  ,  , 3 ,  ,  ,  ,  ,  ,  ,
,,20 - 49 años, 96 , 5 ,  , 9 , 26 , 48 , 2 ,  , 6 ,  ,  ,
,,50 - 59 años, 91 , 9 ,  , 19 , 24 , 29 ,  ,  , 4 , 1 , 5 ,
,,60 y más años, 591 , 114 , 6 , 134 , 187 , 124 ,  , 1 , 4 ,  , 21 ,
Exterior,Hombre,Total, 19 ,  ,  , 4 , 3 , 5 , 1 ,  , 4 ,  , 2 ,
,,15 - 19 años, 3 ,  ,  ,  , 1 ,  , 1 ,  ,  ,  , 1 ,
,,20 - 49 años, 7 ,  ,  , 3 , 1 , 2 ,  ,  ,  ,  , 1 ,
,,50 - 59 años, 3 ,  ,  ,  ,  , 1 ,  ,  , 2 ,  ,  ,
,,60 y más años, 6 ,  ,  , 1 , 1 , 2 ,  ,  , 2 ,  ,  ,
,Mujer,Total, 10 , 1 ,  , 2 , 1 , 4 ,  , 1 ,  ,  , 1 ,
,,Menores de 15 años, 1 ,  ,  ,  , 1 ,  ,  ,  ,  ,  ,  ,
,,20 - 49 años, 2 ,  ,  , 1 ,  ,  ,  , 1 ,  ,  ,  ,
,,50 - 59 años, 1 ,  ,  ,  ,  , 1 ,  ,  ,  ,  ,  ,
,,60 y más años, 6 , 1 ,  , 1 ,  , 3 ,  ,  ,  ,  , 1 ,
,,,,,,,,,,,,,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,
La información del nivel de instrucción se levanta a partir de los 5 años y más.,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
