,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie No. 1.2.1
Número de defunciones, tasa de mortalidad general en el año (t+1) según región y provincia de residencia habitual del fallecido/a
Periodo 2008 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia de residencia,Evolución de la Mortalidad General en el año (t+1)1/ por Provincia de Residencia Habitual del Fallecido (a),,,,,,,,,,,,,,Proyecciones poblacionales,,,,,,,,,,,,,,Evolución de la Tasa de Mortalidad General en el año (t+1)1/ por Provincia de Residencia Habitual del Fallecido (a),,,,,,,,,,,,,,INDICE
,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 (**p),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 (p**),
Pichincha," 9,543 "," 9,298 "," 9,618 "," 9,724 "," 10,035 "," 10,004 "," 9,914 "," 10,070 "," 10,707 "," 11,435 "," 11,945 "," 12,056 "," 18,825 "," 18,464 ","2,555,387","2,610,755","2,667,953","2,723,509","2,779,370","2,835,373","2,891,472","2,947,627","3,003,799","3,059,971","3,116,111","3,172,200","3,228,233","3,284,186",3.7,3.6,3.6,3.6,3.6,3.5,3.4,3.4,3.6,3.7,3.8,3.8,5.8,5.6,
Tungurahua," 2,752 "," 2,547 "," 2,641 "," 2,594 "," 2,652 "," 2,614 "," 2,572 "," 2,575 "," 2,703 "," 2,540 "," 2,890 "," 2,865 "," 4,162 "," 4,118 ","509,740","516,779","524,048","530,655","537,351","544,090","550,832","557,563","564,260","570,933","577,551","584,114","590,600","597,011",5.4,4.9,5.0,4.9,4.9,4.8,4.7,4.6,4.8,4.4,5.0,4.9,7.0,6.9,
Santo Domingo de los Tsáchilas," 1,593 "," 1,613 "," 1,533 "," 1,597 "," 1,639 "," 1,615 "," 1,510 "," 1,662 "," 1,733 "," 1,759 "," 1,846 "," 1,942 "," 2,870 "," 2,848 ","402,372","412,862","423,682","432,416","441,195","449,989","458,785","467,569","476,345","485,090","493,821","502,504","458,580","466,423",4.0,3.9,3.6,3.7,3.7,3.6,3.3,3.6,3.6,3.6,3.7,3.9,6.3,6.1,
Región Costa," 29,347 "," 29,512 "," 30,942 "," 31,078 "," 31,910 "," 32,639 "," 32,479 "," 33,842 "," 35,658 "," 36,339 "," 36,368 "," 38,279 "," 65,817 "," 53,512 ","7,197,036","7,324,324","7,455,097","7,571,368","7,687,229","7,802,311","7,916,493","8,029,673","8,141,834","8,252,927","8,362,855","8,471,643","8,631,859","8,739,104",4.1,4.0,4.2,4.1,4.2,4.2,4.1,4.2,4.4,4.4,4.3,4.5,7.6,6.1,
El Oro," 2,377 "," 2,293 "," 2,493 "," 2,607 "," 2,596 "," 2,651 "," 2,647 "," 2,795 "," 2,885 "," 3,064 "," 3,017 "," 3,167 "," 5,119 "," 4,996 ","607,959","616,299","624,860","634,481","644,000","653,400","662,671","671,817","680,845","689,760","698,545","707,204","715,751","724,193",3.9,3.7,4.0,4.1,4.0,4.1,4.0,4.2,4.2,4.4,4.3,4.5,7.2,6.9,
Esmeraldas," 1,746 "," 1,736 "," 1,895 "," 1,790 "," 1,903 "," 1,691 "," 1,710 "," 1,804 "," 1,677 "," 1,726 "," 1,804 "," 1,950 "," 2,719 "," 2,763 ","485,548","496,331","507,408","516,418","525,320","534,084","542,707","551,165","559,471","567,610","575,593","583,417","643,654","651,917",3.6,3.5,3.7,3.5,3.6,3.2,3.2,3.3,3.0,3.0,3.1,3.3,4.2,4.2,
Guayas," 14,663 "," 14,904 "," 15,743 "," 16,133 "," 16,469 "," 17,244 "," 17,244 "," 17,804 "," 18,675 "," 19,402 "," 19,184 "," 20,326 "," 37,775 "," 28,222 ","3,647,031","3,712,012","3,778,720","3,840,319","3,901,981","3,963,541","4,024,929","4,086,089","4,146,996","4,207,610","4,267,893","4,327,845","4,387,434","4,446,641",4.0,4.0,4.2,4.2,4.2,4.4,4.3,4.4,4.5,4.6,4.5,4.7,8.6,6.3,
Los Ríos," 3,663 "," 3,681 "," 3,656 "," 3,612 "," 3,605 "," 3,664 "," 3,622 "," 3,600 "," 3,881 "," 3,952 "," 4,009 "," 4,252 "," 5,684 "," 5,777 ","776,460","790,808","805,514","817,676","829,779","841,767","853,622","865,340","876,912","888,351","899,632","910,770","921,763","932,593",4.7,4.7,4.5,4.4,4.3,4.4,4.2,4.2,4.4,4.4,4.5,4.7,6.2,6.2,
Manabí," 6,003 "," 5,847 "," 6,111 "," 5,904 "," 6,119 "," 6,177 "," 6,061 "," 6,531 "," 7,229 "," 6,760 "," 6,880 "," 7,151 "," 11,323 "," 9,782 ","1,379,329","1,399,539","1,420,348","1,436,259","1,451,873","1,467,111","1,481,940","1,496,366","1,510,375","1,523,950","1,537,090","1,549,796","1,562,079","1,573,950",4.4,4.2,4.3,4.1,4.2,4.2,4.1,4.4,4.8,4.4,4.5,4.6,7.2,6.2,
Santa Elena, 895 ," 1,051 "," 1,044 "," 1,032 "," 1,218 "," 1,212 "," 1,195 "," 1,308 "," 1,311 "," 1,435 "," 1,474 "," 1,433 "," 3,197 "," 1,972 ","300,709","309,335","318,247","326,215","334,276","342,408","350,624","358,896","367,235","375,646","384,102","392,611","401,178","409,810",3.0,3.4,3.3,3.2,3.6,3.5,3.4,3.6,3.6,3.8,3.8,3.6,8.0,4.8,
Reagión Amazónica," 1,999 "," 2,050 "," 2,236 "," 2,277 "," 2,464 "," 2,502 "," 2,438 "," 2,519 "," 2,471 "," 2,701 "," 2,898 "," 2,914 "," 3,953 "," 3,964 ","714,054","736,993","760,853","780,529","800,285","820,024","839,722","859,385","878,996","898,547","918,016","937,406","956,699","975,879",2.8,2.8,2.9,2.9,3.1,3.1,2.9,2.9,2.8,3.0,3.2,3.1,4.1,4.1,
Morona Santiago, 338 , 431 , 403 , 407 , 456 , 498 , 504 , 508 , 515 , 537 , 618 , 607 , 774 , 726 ,"145,352","149,206","153,163","157,551","161,948","166,345","170,722","175,074","179,406","183,728","188,028","192,301","196,535","200,737",2.3,2.9,2.6,2.6,2.8,3.0,3.0,2.9,2.9,2.9,3.3,3.2,3.9,3.6,
Napo, 336 , 257 , 367 , 352 , 405 , 363 , 351 , 386 , 384 , 401 , 406 , 426 , 596 , 582 ,"101,017","103,933","106,953","109,514","112,151","114,805","117,465","120,144","122,838","125,538","128,252","130,976","133,705","136,434",3.3,2.5,3.4,3.2,3.6,3.2,3.0,3.2,3.1,3.2,3.2,3.3,4.5,4.3,
Pastaza, 210 , 217 , 231 , 246 , 289 , 269 , 265 , 267 , 281 , 320 , 371 , 347 , 470 , 465 ,"81,047","83,711","86,470","89,053","91,699","94,373","97,093","99,855","102,655","105,494","108,365","111,270","114,202","117,155",2.6,2.6,2.7,2.8,3.2,2.9,2.7,2.7,2.7,3.0,3.4,3.1,4.1,4.0,
Zamora Chinchipe, 269 , 263 , 313 , 302 , 302 , 331 , 306 , 316 , 282 , 363 , 346 , 373 , 487 , 522 ,"91,691","93,409","95,194","97,676","100,170","102,684","105,213","107,749","110,296","112,835","115,368","117,899","120,416","122,921",2.9,2.8,3.3,3.1,3.0,3.2,2.9,2.9,2.6,3.2,3.0,3.2,4.0,4.2,
Sucumbíos, 463 , 471 , 530 , 553 , 570 , 620 , 624 , 583 , 591 , 639 , 656 , 690 , 997 , 980 ,"169,667","175,358","181,287","186,072","190,896","195,759","200,656","205,586","210,532","215,499","220,483","225,481","230,503","235,537",2.7,2.7,2.9,3.0,3.0,3.2,3.1,2.8,2.8,3.0,3.0,3.1,4.3,4.2,
Orellana, 383 , 411 , 392 , 417 , 442 , 421 , 388 , 459 , 418 , 441 , 501 , 471 , 629 , 689 ,"125,280","131,376","137,786","140,663","143,421","146,058","148,573","150,977","153,269","155,453","157,520","159,479","161,338","163,095",3.1,3.1,2.8,3.0,3.1,2.9,2.6,3.0,2.7,2.8,3.2,3.0,3.9,4.2,
Región Insular, 29 , 43 , 43 , 53 , 41 , 42 , 44 , 41 , 46 , 41 , 66 , 45 , 53 , 82 ,"24,214","25,036","25,884","26,576","27,284","28,000","28,726","29,453","30,172","30,890","31,600","32,320","33,042","33,769",1.2,1.7,1.7,2.0,1.5,1.5,1.5,1.4,1.5,1.3,2.1,1.4,1.6,2.4,
Galápagos, 29 , 43 , 43 , 53 , 41 , 42 , 44 , 41 , 46 , 41 , 66 , 45 , 53 ,82,"24,214","25,036","25,884","26,576","27,284","28,000","28,726","29,453","30,172","30,890","31,600","32,320","33,042","33,769",1.2,1.7,1.7,2.0,1.5,1.5,1.5,1.4,1.5,1.3,2.1,1.4,1.6,2.4,
Exterior, 73 , 85 , 65 , 55 , 17 , 20 , 38 , 35 , 45 , 52 , 61 , 65 , 27 , 29 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
"1/ Defunciones registrados en el año (t+1):  corresponden a las defunciones generales ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del año siguiente. Cabe mencionar que se ha realizado el ajuste desde el año 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Registro estadístico de defunciones generales, años 2008-2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
