subtipo_objeto_robado;nombre_objeto;fecha_evento;nombre_provincia;tipo_delito
ARMA DE FUEGO;CARTUCHERAS;10/1/2023;DMG;TERRORISMO Y SU FINANCIACIÓN
ARMA DE FUEGO;CARTUCHERAS;10/1/2023;IMBABURA;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;CARABINAS;10/1/2023;IMBABURA;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;FUSILES;11/1/2023;LOS RIOS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;CARABINAS;10/1/2023;SUCUMBIOS;DELITOS CONTRA PERSONAS Y BIENES PROTEGIDOS POR EL DERECHO INTERNACIONAL HUMANITARIO
ARMA DE FUEGO;CARTUCHERAS;10/1/2023;PICHINCHA;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;10/1/2023;EL ORO;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;10/1/2023;EL ORO;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;SUBAMETRALLADORA;10/1/2023;ESMERALDAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;AMETRALLADORAS;11/1/2023;ESMERALDAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;11/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;11/1/2023;ESMERALDAS;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;11/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;SUBAMETRALLADORA;11/1/2023;EL ORO;DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
ARMA DE FUEGO;ESCOPETA;11/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
ARMA DE FUEGO;PISTOLAS;11/1/2023;DMG;DELITOS CONTRA LA SEGURIDAD PÚBLICA
