Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
9011,00,Total Nacional,0000,Total Nacional,Ecuador,"Seguridad alimentaria, agricultura y tierra",Uso de suelo,Superficie de cultivos transitorios con aplicación de plaguicidas químicos,Total,Total,"869169,8060990027",No Aplica,Fitosanitario.,2021,,INEC,Hectáreas,Personas,ODS 2
9011,00,Total Nacional,0000,Total Nacional,Ecuador,"Seguridad alimentaria, agricultura y tierra",Uso de suelo,Superficie de cultivos transitorios con aplicación de plaguicidas químicos,Total,Total,"808237,4871885587",No Aplica,Fitosanitario.,2020,,INEC,Hectáreas,Personas,ODS 2
9011,00,Total Nacional,0000,Total Nacional,Ecuador,"Seguridad alimentaria, agricultura y tierra",Uso de suelo,Superficie de cultivos transitorios con aplicación de plaguicidas químicos,Total,Total,"688054,4738810207",No Aplica,Fitosanitario.,2019,,INEC,Hectáreas,Personas,ODS 2
9011,00,Total Nacional,0000,Total Nacional,Ecuador,"Seguridad alimentaria, agricultura y tierra",Uso de suelo,Superficie de cultivos transitorios con aplicación de plaguicidas químicos,Total,Total,"798707,1095617305",No Aplica,Fitosanitario.,2018,,INEC,Hectáreas,Personas,ODS 2
9011,00,Total Nacional,0000,Total Nacional,Ecuador,"Seguridad alimentaria, agricultura y tierra",Uso de suelo,Superficie de cultivos transitorios con aplicación de plaguicidas químicos,Total,Total,"926311,5634806426",No Aplica,Fitosanitario.,2017,,INEC,Hectáreas,Personas,ODS 2
9011,00,Total Nacional,0000,Total Nacional,Ecuador,"Seguridad alimentaria, agricultura y tierra",Uso de suelo,Superficie de cultivos transitorios con aplicación de plaguicidas químicos,Total,Total,"877365,0666323035",No Aplica,Fitosanitario.,2016,,INEC,Hectáreas,Personas,ODS 2
9011,00,Total Nacional,0000,Total Nacional,Ecuador,"Seguridad alimentaria, agricultura y tierra",Uso de suelo,Superficie de cultivos transitorios con aplicación de plaguicidas químicos,Total,Total,"884702,7246461562",No Aplica,Fitosanitario.,2015,,INEC,Hectáreas,Personas,ODS 2
9011,00,Total Nacional,0000,Total Nacional,Ecuador,"Seguridad alimentaria, agricultura y tierra",Uso de suelo,Superficie de cultivos transitorios con aplicación de plaguicidas químicos,Total,Total,"822469,3397740521",No Aplica,Fitosanitario.,2014,,INEC,Hectáreas,Personas,ODS 2
