Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
8004,17,Pichincha,1701,Quito,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"2,9",No Aplica,Valor máximo del contaminante CO,2010,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,17,Pichincha,1701,Quito,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"2,5",No Aplica,Valor máximo del contaminante CO,2011,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,17,Pichincha,1701,Quito,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"3,08",No Aplica,Valor máximo del contaminante CO,2012,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,01,Azuay,0101,Cuenca,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"3,29",No Aplica,Valor máximo del contaminante CO,2013,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,17,Pichincha,1701,Quito,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"3,6",No Aplica,Valor máximo del contaminante CO,2013,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,01,Azuay,0101,Cuenca,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"2,2",No Aplica,Valor máximo del contaminante CO,2014,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,17,Pichincha,1701,Quito,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"1,61",No Aplica,Valor máximo del contaminante CO,2014,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,01,Azuay,0101,Cuenca,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"1,25",No Aplica,Valor máximo del contaminante CO,2015,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,17,Pichincha,1701,Quito,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"3,05",No Aplica,Valor máximo del contaminante CO,2015,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,01,Azuay,0101,Cuenca,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"3,7711099999999997",No Aplica,Valor máximo del contaminante CO,2016,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,17,Pichincha,1701,Quito,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"2,6185714286",No Aplica,Valor máximo del contaminante CO,2016,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,01,Azuay,0101,Cuenca,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"1,3309375",No Aplica,Valor máximo del contaminante CO,2017,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,17,Pichincha,1701,Quito,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"1,6075",No Aplica,Valor máximo del contaminante CO,2017,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,01,Azuay,0101,Cuenca,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"2,84346",No Aplica,Valor máximo del contaminante CO,2018,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
8004,17,Pichincha,1701,Quito,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Concentración máxima anual de monóxido de carbono en el aire,Total,Total,"1,4720833333",No Aplica,Valor máximo del contaminante CO,2018,,"Ministerio de Ambiente, Agua y Transición Ecológica",Miligramos/metro cúbico,Planeta,ODS 13
