Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
8008,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Deforestación bruta,Total,Total,81392,No Aplica,Período 2018-2020,2020,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8008,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Deforestación bruta,Total,Total,82529,No Aplica,Período 2016-2018,2018,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8008,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Deforestación bruta,Total,Total,94353,No Aplica,Período 2014-2016,2016,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8008,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Deforestación bruta,Total,Total,97918,No Aplica,Período 2008-2014,2014,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
