Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
8001.1,01,Azuay,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,7,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
8001.1,03,Cañar,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
8001.1,06,Chimborazo,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,4,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
8001.1,05,Cotopaxi,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
8001.1,07,El Oro,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,7,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
8001.1,08,Esmeraldas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,10,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
8001.1,09,Guayas,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,37,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
8001.1,10,Imbabura,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,2,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
8001.1,13,Manabí,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,7,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
8001.1,12,Los Ríos,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,Vulnerabilidad frente a amenazas,Eventos peligrosos - categoría antrópico,Total,Total,7,No Aplica,"Ocurrencia de eventos peligrosos: deslizamiento, incendio forestal, incendio estructural, contaminación, inundación, accidente minero, colapso estructural, intoxicación, explosión, epidemia, déficit hídrico, socavamiento, hundimiento, aluvión, desplazados forzosos, perturbación en eventos masivos, contaminación ambiental, vendaval","2021,0","12,0",Servicio Nacional de Gestión de Riesgos,Eventos,Personas,ODS 1
